,Unnamed: 0,budget,popularity,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign,popularity_index,y_test
2767,2767,13000000.0,5.831302,93.0,6.1,103.0,33165,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.14512072012424934,83769672.29056203
4131,4131,29584033.76797455,6.752141,87.0,6.0,333.0,38304,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6423655271828215,83769672.29056203
685,685,53000000.0,19.412028,93.0,5.9,569.0,35196,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.3098094024111575,83769672.29056203
1734,1734,28000000.0,1.767479,86.0,5.5,46.0,31647,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.01400272264171147,8345056.0
3314,3314,10284523.0,4.820166,104.0,5.7,75.0,34671,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.10567042727493883,11588205.0
507,507,75000000.0,60.442593,145.0,6.7,3260.0,31266,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025842555890809044,816969268.0
672,672,50000000.0,42.551902,147.0,7.1,1165.0,34998,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.6414139703373831,132180323.0
2803,2803,20000000.0,26.396191,105.0,6.3,1150.0,36447,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.6202798848823956,31327899.0
4710,4710,29584033.76797455,0.021392,72.0,6.104517497348888,701.7172852598093,38136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9886768714615224,83769672.29056203
418,418,85000000.0,11.77398,82.0,4.9,119.0,36414,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.16766374460956962,112483764.0
229,229,113000000.0,44.108427,140.0,7.1,4116.0,34514,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0143372104868886,850000000.0
34,34,200000000.0,89.186492,104.0,7.0,3528.0,37470,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.3802683280253401,743559607.0
3135,3135,29584033.76797455,0.304566,85.0,5.0,6.0,36271,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.008453634181995108,83769672.29056203
201,201,125000000.0,45.313197,149.0,6.5,2704.0,34879,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.8097711380191277,767820459.0
