,Unnamed: 0,budget,popularity,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign,popularity_index
1,1,300000000.0,139.082615,169.0,6.9,4500.0,35246,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3402256364963305
2,2,245000000.0,107.376788,148.0,6.3,4466.0,38328,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.292321709465026
3,3,250000000.0,112.31295,165.0,7.6,9106.0,37131,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.06027759695769305
4,4,260000000.0,43.926995,132.0,6.1,2124.0,37000,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095350529663606
5,5,258000000.0,115.699814,139.0,5.9,3576.0,35228,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4648289130773892
6,6,260000000.0,48.681969,100.0,7.4,3330.0,36531,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.82731219536011
7,7,280000000.0,134.27922900000002,141.0,7.3,6767.0,38141,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1711251654596303
8,8,250000000.0,98.885637,153.0,7.4,5293.0,36026,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.152424661031509
9,9,250000000.0,155.790452,151.0,5.7,7004.0,38477,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22723555042352744
10,10,270000000.0,57.925623,154.0,5.4,1400.0,34921,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9725146424655249
11,11,200000000.0,107.928811,106.0,6.1,2965.0,35776,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.177504224935915
12,12,200000000.0,145.84737900000005,151.0,7.0,5246.0,34913,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.391294153124388
13,13,255000000.0,49.046956,149.0,5.9,2311.0,37483,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3742826526510839
14,14,225000000.0,99.398009,143.0,6.5,6359.0,37462,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08054888186348308
15,15,225000000.0,53.978602,150.0,6.3,1630.0,35608,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.827313680351109
16,16,220000000.0,144.448633,143.0,7.4,11776.0,37049,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.59166602119573
17,17,380000000.0,135.413856,136.0,6.4,4948.0,36702,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.799640388203922
18,18,225000000.0,52.035179,106.0,6.2,4160.0,37077,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.031749107596350946
19,19,250000000.0,120.965743,144.0,7.1,4760.0,38008,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06030260370481574
20,20,215000000.0,89.866276,136.0,6.5,6586.0,37112,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00897156037563
21,21,200000000.0,37.668301,140.0,6.2,1398.0,36335,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031749107596350946
22,22,250000000.0,94.370564,161.0,7.6,4524.0,37644,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033535551770270976
23,23,180000000.0,42.990906,113.0,5.8,1303.0,35445,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8358475565232708
24,24,207000000.0,61.22601,187.0,6.6,2337.0,34725,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.2926905138870937
25,25,200000000.0,100.025899,194.0,7.5,7562.0,31777,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,7.414443495024974
26,26,250000000.0,198.372395,147.0,7.1,7241.0,38512,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06027759695769305
27,27,209000000.0,64.928382,131.0,5.5,2114.0,37035,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.774823728958058
28,28,150000000.0,418.708552,124.0,6.5,8662.0,38189,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.20422988074027
29,29,200000000.0,93.004993,143.0,6.9,7604.0,37232,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.095350529663606
30,30,200000000.0,35.149586,127.0,6.7,4321.0,34188,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.827316650333113
31,31,200000000.0,77.68208,130.0,6.8,8806.0,37407,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.407117101108152
32,32,200000000.0,78.530105,108.0,6.4,4645.0,36265,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.578738431621098
33,33,210000000.0,3.857526,104.0,6.3,3525.0,34886,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4826837023750845
34,34,200000000.0,89.186492,104.0,7.0,3528.0,37470,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.3802683280253401
35,35,150000000.0,21.939663,150.0,6.0,3138.0,36008,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8342805538976688
36,36,210000000.0,116.840296,165.0,5.8,3095.0,37840,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.360666298879143
37,37,200000000.0,46.985445,130.0,5.7,3530.0,37365,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.06030260370481574
38,38,200000000.0,89.270217,142.0,6.5,4179.0,37770,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031259060566098573
39,39,170000000.0,73.79505,125.0,6.3,2841.0,36547,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038188028575667034
40,40,200000000.0,49.98659,106.0,5.8,2033.0,36730,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.093063957370473
41,41,200000000.0,51.872839,114.0,5.1,2487.0,36735,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.42148455434412
42,42,200000000.0,59.99541800000001,103.0,7.6,4597.0,36370,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,6.476892722438585
43,43,200000000.0,71.862892,115.0,5.9,2463.0,35978,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32.965521829645716
44,44,190000000.0,102.322217,137.0,7.3,4176.0,38120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.883729390668595
45,45,200000000.0,81.834855,116.0,6.7,5560.0,37470,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,9.578738431621098
46,46,250000000.0,118.078691,131.0,7.5,6032.0,37799,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.498720230965747
47,47,190000000.0,78.29101800000002,132.0,7.4,4418.0,37424,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3478368670641377
