,budget,popularity,revenue,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign
46,250000000,118.07869099999999,747862775,131.0,7.5,6032,37799,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,190000000,78.29101800000001,467365246,132.0,7.4,4418,37424,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,195000000,43.349855,197687603,114.0,5.5,2598,37357,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,105000000,61.196070999999996,351040419,143.0,7.3,3769,37429,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
50,150000000,62.169881000000004,335154643,116.0,6.2,2317,36342,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,180000000,56.523205000000004,407602906,131.0,6.7,4794,37491,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,195000000,28.529607000000002,1123746996,154.0,6.1,3299,36747,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,185000000,75.674458,786636033,122.0,5.7,2495,35614,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,175000000,51.692953,331926147,93.0,6.6,1736,38347,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
55,185000000,125.114374,538983207,93.0,6.7,4641,37106,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
56,185000000,65.352913,343471816,122.0,6.6,2568,38583,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,180000000,66.390712,521311860,98.0,7.8,6296,35646,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
58,140000000,22.57178,258022233,91.0,6.1,783,35327,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
