,budget,popularity,runtime,vote_average,vote_count,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Documentary,Foreign,TV Movie,Days
27,209000000.0,64.928382,131.0,5.5,2114,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37035
28,150000000.0,418.708552,124.0,6.5,8662,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38189
29,200000000.0,93.004993,143.0,6.9,7604,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37232
30,200000000.0,35.149586,127.0,6.7,4321,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34188
31,200000000.0,77.68208,130.0,6.8,8806,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37407
32,200000000.0,78.530105,108.0,6.4,4645,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36265
33,210000000.0,3.857526,104.0,6.3,3525,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34886
34,200000000.0,89.186492,104.0,7.0,3528,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,37470
35,150000000.0,21.939663,150.0,6.0,3138,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36008
36,210000000.0,116.840296,165.0,5.8,3095,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37840
37,200000000.0,46.985445,130.0,5.7,3530,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37365
38,200000000.0,89.270217,142.0,6.5,4179,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37770
39,170000000.0,73.79505,125.0,6.3,2841,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36547
40,200000000.0,49.98659,106.0,5.8,2033,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,36730
41,200000000.0,51.872839,114.0,5.1,2487,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36735
42,200000000.0,59.99541800000001,103.0,7.6,4597,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,36370
43,200000000.0,71.862892,115.0,5.9,2463,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35978
44,190000000.0,102.32221700000001,137.0,7.3,4176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38120
45,200000000.0,81.834855,116.0,6.7,5560,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,37470
46,250000000.0,118.07869099999999,131.0,7.5,6032,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37799
47,190000000.0,78.29101800000001,132.0,7.4,4418,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37424
48,195000000.0,43.349855,114.0,5.5,2598,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37357
49,105000000.0,61.196070999999996,143.0,7.3,3769,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37429
50,150000000.0,62.169881000000004,116.0,6.2,2317,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36342
51,180000000.0,56.523205000000004,131.0,6.7,4794,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37491
52,195000000.0,28.529607000000002,154.0,6.1,3299,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36747
53,185000000.0,75.674458,122.0,5.7,2495,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35614
54,175000000.0,51.692953,93.0,6.6,1736,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,38347
55,185000000.0,125.114374,93.0,6.7,4641,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,37106
56,185000000.0,65.352913,122.0,6.6,2568,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38583
57,180000000.0,66.390712,98.0,7.8,6296,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,35646
58,140000000.0,22.57178,91.0,6.1,783,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,35327
